Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
eevee.tv,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1
appleid.apple.com-sa.pm,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1
grandcup.xyz,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
villa-azzurro.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
mygpstrip.net,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
35.199.84.117,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
milpitaslions.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
pastimenangqq101.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,0,1,1,0,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,0,0,1,1,0,1,0,1
aprenderparaser.com.br,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
kinemind.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
han.gl,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1
u.to,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1
faktor.rs,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,1
centromusicalpaternense.es,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
verificare.sella.corporateportal.aggiorniituoidati.com,0,0,1,4,0,0,0,0,0,0,0,1,1,1,1,1,1
appleid.apple.com-sa.pm,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
biced.iainbukittinggi.ac.id,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
paxful-service.com,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
sportbeclick.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
yamionmsuz.com,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,1
dailyexclusiveoffer.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
