Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
cheezburger.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
lntrealtly-seawoods.co.in,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
chatwhatsapp-invitee.join-wa18.my.id,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
bombayfashions.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,1
atwiki.jp,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
suchenpkw.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
okulumda.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
202.0691.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0
6b06e8pe.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
deadspin.com,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
att-mail-106036.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
depositphotos.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3d-druck.blog,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
roomedic.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
confirm-security-text-message.confirm-wf.info,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
lignespacemobille.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
poetkaustubh.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
goodlifemedical.in,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
texas-money.net,0,0,1,4,0,0,0,1,0,1,0,1,1,1,1,1,1
kolhagames.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
free-mobile-facture.gq,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
lynshirt.com,0,0,1,4,0,0,1,0,0,0,0,1,0,0,1,0,1
00007790.com:6899,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
sistemadeatualizacaautomaticoonline.tk,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1
serverfault.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0
servicio-correos-unterstutzung.codeanyapp.com,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1
techcrunch.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
icloud.com-account.in,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
spwu9iu4.apps.lair.io,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
euro-pak.eu,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
mic.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
1000islandstradingco.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
unblocking-fb-support.xyz,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
manosmorenas.com.ar,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
lachambredezoe.fr,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0
pastehtml.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1
return-wheres-get_refund-faster-deposit_wmr-66463550e4d35.toucangiftshops.com,0,0,1,2,1,0,0,1,0,1,0,0,1,1,1,1,1
bairsajna.gq,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
boomcup.icu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
00085.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
olx.in,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0
nesn.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
support.yrbinc.com,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1
imagephoto-video.com,0,0,1,5,0,0,0,1,0,1,1,1,0,0,1,0,1
playarprint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
88.190.225.231:444,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
rcone.kvhkosher.org,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0,1
buzzfil.net,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
25czsk.aauni.edu,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
abtest.ai,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
007opt.ru,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
google-apps.cz,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
olx.ua,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
wfsjw.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
kunden-verifi.info,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
1546.us,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
momoshop.com.tw,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
forms.gle,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0
0mg.us,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
0-kcal.com,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ryalcapital.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
lakshmipurmachinery.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
wpengine.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
freevbuckx.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
motthegioi.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
loghouserestoration.ca,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
sourceforge.net,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
web.de,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,0,0
bizcloudz.net,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify8.id-app7.net,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1
cheezburger.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
sb-sf-h-team-sktet9wd-swiconteamss146424.codeanyapp.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1
slashdot.org,0,0,1,6,0,0,0,0,1,0,1,1,0,0,1,0,0
findid-icloud.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
mewsxzsa27.club,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
wilirots.biz,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
0-60specs.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
tunein.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,1,0
mailview11982.xyz,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
nypost.com,0,0,1,4,0,0,1,0,0,0,1,1,0,0,1,0,0
online.citi.com.lyuw10ukncihjetewuqicy4chjcmbp.bucspray.gr,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
olx.ua,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
correios.com.br,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
ktpn.kalisz.pl,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
02129neighboralliance.org,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,1,0
1.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
medium.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
olx.in,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0
whatsappjoin.budi01.me,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
delgadaygordo.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ilgiuncobb.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
correios.com.br,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
synergyathletictraining.com,0,0,1,7,0,0,0,0,0,0,1,1,0,0,1,0,1
btlinternetco.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
2cjc.blog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
paypal.com-ch-accsslmtd2018.info,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
cal-jaredp-rakasam.pages.dev,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
11a63.us,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
365ninja.blog,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
patch.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
acnestargel.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
kienthuc.net.vn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0
ringring.vn,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
casonahartfordct.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,1
olditis.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
5gigbucks.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
motthegioi.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
buzzfil.net,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
daithangloi.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
acupofme.blog,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
key-coats.co.uk,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1
andrewcarr.org,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
catalog.0-tel.ru,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
birrasalentoshop.it,0,0,1,6,0,0,0,0,0,1,0,1,1,0,1,0,1
