,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,007studio.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1,0101.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
2,0123.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
3,028.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
4,raovat.028.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
5,03-x.vn,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
6,0375633685.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
7,nhapsdt.0375633685.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
8,ww16.nhapsdt.0375633685.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
9,ww16.0375633685.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
10,0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
11,camera.0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
12,muaban.0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
13,055.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
14,chothuexe.055.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
15,068.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
16,0711.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
17,0711.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
18,081081.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
19,1001game.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
20,1001show.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
21,1001show.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
22,100do.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
23,100do.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
24,100like.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
25,100ty.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
26,101.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
27,101home.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
28,1022.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
29,102food.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
30,1068.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
31,1080.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
32,1080.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
33,1080lamdong.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
34,10cong.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
35,10education.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
36,10giay.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
37,10kiem.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
38,10namdangnho.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
39,10namgoute.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
40,10q.vn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
41,10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
42,mh.10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
43,thietbixima.10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
44,10top.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
45,10up.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
46,1102style.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
47,111.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
48,113.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
49,115vietnam.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
50,116truongchinh.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
51,11s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
52,123-zo.vn,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
53,123456789.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
54,123456789.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
55,123angels.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
56,123b.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
57,123batdongsan.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
58,123choi.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
59,123chon.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
60,123chothue.vn,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
61,123click.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
62,123code.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
63,123coffee.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
64,123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
65,bdsnamhung.demo.123corp.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
66,donatech.demo.123corp.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
67,thietbidien.demo.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
68,web.demo.123corp.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
69,thietbitinhoc.123corp.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
70,x.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
71,xongpha.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
72,123di.vn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
73,123event.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
74,123farm.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
75,123flower.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
76,123flower.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
77,123game.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
78,123giare.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
79,123ginseng.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
80,123go.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
81,webv3.123go.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
82,123gogo.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
83,123gym.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
84,123host.vn,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
85,blog.123host.vn,0,0,1,4,0,0,0,0,1,0,1,1,0,0,1,0,0
86,client.123host.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
87,cloud-backup.123host.vn,0,0,1,6,0,0,0,1,1,0,1,1,0,0,1,0,0
88,gshield.123host.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
89,123in.vn,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
90,blog.123in.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
91,hotro.123in.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
92,shop.123in.vn,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
93,123job.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
94,123job.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
