Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0--x--0.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0.com,0,0,0,3,0,0,0,1,0,1,0,1,1,0,1,0,0
0-0-0.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0-0-akmr-symbol.com:3000,0,0,0,2,0,0,0,1,0,1,1,1,0,0,1,0,0
0-0-0checkmate.com,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0-0-5.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0-8studios.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-00-0.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-001.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-070.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0domain.com,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0
0-0dy.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
m.0-0dy.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0la.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0p.com,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0sz.com,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0z.com,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1-0-4.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
6wm41w.zzc.0-1-2.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
daqeotj5k.zzc.0-1-2.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
jnn8wev.zzc.0-1-2.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
p9anagiyx.zzc.0-1-2.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
pvs8.zzc.0-1-2.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1-f.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1-llc.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1-n.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1-n.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100-ans.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-100c.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100c.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100k.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-100s.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-100s.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-105.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-10hk.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-10hk.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0
0-10s.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-110.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-123456789.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-12edu.com,0,0,1,5,0,0,0,1,0,1,0,1,0,0,1,0,0
0-13.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-15.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-15e.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-173.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-173.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
akiba.0-173.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0-180.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-18baby.com,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0
