Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
239393pflqec.comptech.ltd,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
return-wheres-get_refund-faster-deposit_wmr-66479efaae200.oliviajacob.com,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,1
2691069qjgnme.comptech.ltd,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
8981256gsnjdh.comptech.ltd,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
6081988oocxok.comptech.ltd,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
return-wheres-get_refund-faster-deposit_wmr-66479a051be96.oliviajacob.com,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,1
return-wheres-get_refund-faster-deposit_wmr-6647738907047.oliviajacob.com,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,1
693929htjrfe.comptech.ltd,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
ipkablsneas.com,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
gqjpxfhmkdxnrdb.live,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
me2.do,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
ipkublzneas.com,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
ipkublzneas.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
me2.do,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
aversachristelle32-wixsite-com.filesusr.com,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1
me2.do,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
me2.do,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
2969zsgc.computer-mod-s.tech,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1
