Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
prayfrjapan.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1
saintlawrenceresidences.horizontechsystems.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
chefhair.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
maoled.ga,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
gurmsan.org,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,0,1
pavypal.com-resolutioncenter.privacypolicy.supporthelpaccount.updateinformation-loginpage.ai8gi.org,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
mikteks.biz,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
contadoresintegrales.com,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
vitalpro-tech.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
webmail.wawm.k12.wi.us,0,0,1,4,1,0,0,0,0,1,1,1,1,1,1,1,1
myetherwallet-ssign.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
yesling.com,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Dfejbuszek22.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
higherheightscorp.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
andromedatechnologies.co.in,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
sign-ln-lcloud.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify5.eu-id3.com,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1
paypal.com.us.login.cgi-bin.dispatch.confirmed.webscr.account64x28423x224j5m56403o2djvreppv28423x224i5j54x22h5d2r84t.rycedentalsupplies.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
clcatv.cn,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1
cy41058.tmweb.ru,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
martin-busker.de,0,0,1,8,0,0,0,1,0,1,1,1,0,0,1,0,1
dubaiscout.ae,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
sofotosbook.com.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
acikdnz-denizbank.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
progreso.pl,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
isonsyi.inboxread28.review,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
laposteitaliane.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
jaymay-owa.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
update-your-info.pariztravel.com,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1
kerrdental.com.br,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,1
pinuppopup.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
shaparaknet.ir,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
libretasanitariabrown.com,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
directorking.home.comcast.net,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
sgn80.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
dukmak.cl,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,1
yangzirivercorp.com.au,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
pago-itunes-centass-appssy-account.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
grandesbottees.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
semoon.mn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
ns303913.ovh.net,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
pastehtml.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
